order_id,order_date,amount,product_id
221958,2020-01-01,45.229400000000005,SKU_1964
771155,2020-01-01,610.9350000000001,SKU_1241
231932,2020-01-01,950.1834999999999,SKU_1501
465838,2020-01-01,934.3072,SKU_1760
744167,2020-01-01,1728.6904,SKU_1006
210268,2020-01-01,1834.895,SKU_1087
832180,2020-01-01,741.072,SKU_1597
154886,2020-01-01,1784.8894999999998,SKU_1907
237337,2020-01-01,3306.222,SKU_1866
621430,2020-01-01,3485.0864000000006,SKU_1144
187498,2020-01-01,1500.3450999999998,SKU_1450
999159,2020-01-01,1054.2781,SKU_1330
275203,2020-01-01,22.5431,SKU_1709
291335,2020-01-01,992.9387999999999,SKU_1874
378167,2020-01-01,806.5752000000001,SKU_1163
141090,2020-01-01,519.6099999999999,SKU_1656
429365,2020-01-01,472.8976,SKU_1341
164820,2020-01-01,26.5497,SKU_1000
887201,2020-01-01,943.9012,SKU_1119
421879,2020-01-01,2347.587,SKU_1578
818315,2020-01-01,558.1968,SKU_1463
427069,2020-01-01,2427.3686000000002,SKU_1866
876997,2020-01-01,1491.7712000000004,SKU_1461
299041,2020-01-02,1036.3075999999999,SKU_1048
891743,2020-01-02,1363.0950000000003,SKU_1818
203355,2020-01-02,2496.4136,SKU_1326
335796,2020-01-02,482.48500000000007,SKU_1473
314176,2020-01-02,571.804,SKU_1887
284779,2020-01-02,633.8398999999998,SKU_1938
447449,2020-01-02,593.3779999999999,SKU_1367
521909,2020-01-02,385.79240000000004,SKU_1286
358795,2020-01-02,2078.027,SKU_1023
586232,2020-01-02,171.9352,SKU_1722
600186,2020-01-02,2284.5679999999998,SKU_1292
256730,2020-01-02,922.8072,SKU_1448
970910,2020-01-02,988.3764000000001,SKU_1984
484681,2020-01-02,121.42649999999999,SKU_1062
249503,2020-01-02,1332.7041000000002,SKU_1567
754811,2020-01-02,309.25199999999995,SKU_1457
627035,2020-01-02,530.2352,SKU_1529
748143,2020-01-02,686.1125000000001,SKU_1873
552366,2020-01-02,2147.0099999999998,SKU_1960
165725,2020-01-02,158.15879999999999,SKU_1412
229981,2020-01-02,62.261,SKU_1588
184654,2020-01-02,472.08599999999996,SKU_1259
691723,2020-01-02,2337.4124,SKU_1632
419030,2020-01-02,643.7219999999999,SKU_1907
428947,2020-01-03,2616.18,SKU_1183
655839,2020-01-03,200.5756,SKU_1047
373538,2020-01-03,166.89000000000001,SKU_1146
431236,2020-01-03,524.8383,SKU_1793
628178,2020-01-03,504.18359999999996,SKU_1875
665894,2020-01-03,74.99199999999999,SKU_1805
589492,2020-01-03,954.415,SKU_1591
356840,2020-01-03,181.85399999999998,SKU_1747
573254,2020-01-03,138.713,SKU_1408
449457,2020-01-03,1094.2952,SKU_1439
765987,2020-01-03,442.87800000000004,SKU_1457
370936,2020-01-03,926.6963999999999,SKU_1228
339931,2020-01-03,21.5248,SKU_1283
339629,2020-01-03,1654.5985,SKU_1572
305041,2020-01-03,1907.4435000000003,SKU_1731
798361,2020-01-03,935.422,SKU_1344
831912,2020-01-03,438.95000000000005,SKU_1600
517113,2020-01-03,731.47,SKU_1946
168148,2020-01-03,355.97119999999995,SKU_1907
877089,2020-01-03,856.1924,SKU_1263
748531,2020-01-03,910.9473999999998,SKU_1739
351995,2020-01-03,1214.5274000000002,SKU_1377
778843,2020-01-03,585.9907999999999,SKU_1102
672843,2020-01-03,300.1647,SKU_1953
356508,2020-01-04,175.91750000000002,SKU_1599
903591,2020-01-04,432.05949999999996,SKU_1022
996942,2020-01-04,651.2828000000001,SKU_1292
206530,2020-01-04,398.34839999999997,SKU_1266
704365,2020-01-04,747.8772,SKU_1528
922352,2020-01-04,1509.8757999999998,SKU_1475
560337,2020-01-04,914.4782,SKU_1951
824839,2020-01-04,173.83679999999998,SKU_1948
905889,2020-01-04,1055.2089999999998,SKU_1450
559773,2020-01-04,2560.4548,SKU_1897
308261,2020-01-04,348.7912,SKU_1284
864469,2020-01-04,146.5998,SKU_1312
441097,2020-01-04,104.3184,SKU_1161
415139,2020-01-04,607.3800000000001,SKU_1589
271829,2020-01-04,450.5464,SKU_1121
371836,2020-01-04,1382.3500000000001,SKU_1480
538974,2020-01-04,2410.7899999999995,SKU_1111
302283,2020-01-04,87.2324,SKU_1238
296769,2020-01-04,504.3204,SKU_1209
661353,2020-01-04,1042.0075000000002,SKU_1348
323165,2020-01-04,491.1788,SKU_1510
723587,2020-01-04,559.1424,SKU_1001
635822,2020-01-04,797.78,SKU_1891
587879,2020-01-04,2213.6672,SKU_1714
664685,2020-01-05,413.85599999999994,SKU_1798
882038,2020-01-05,2799.4368,SKU_1628
453531,2020-01-05,93.505,SKU_1880
363160,2020-01-05,151.512,SKU_1460
679879,2020-01-05,204.46400000000003,SKU_1811
320884,2020-01-05,882.9654,SKU_1894
123247,2020-01-05,359.77520000000004,SKU_1857
124300,2020-01-05,345.378,SKU_1951
567281,2020-01-05,2246.799,SKU_1481
707086,2020-01-05,588.3628,SKU_1949
633556,2020-01-05,2893.0996,SKU_1948
448951,2020-01-05,593.9516000000001,SKU_1625
374329,2020-01-05,815.8350999999999,SKU_1585
819064,2020-01-05,520.641,SKU_1971
842139,2020-01-05,1577.0292,SKU_1240
532315,2020-01-05,148.762,SKU_1981
616588,2020-01-05,1263.928,SKU_1813
336584,2020-01-05,210.93200000000002,SKU_1053
662332,2020-01-05,810.538,SKU_1670
937646,2020-01-05,59.400800000000004,SKU_1466
476896,2020-01-05,1845.4699999999998,SKU_1108
148984,2020-01-05,361.6251,SKU_1279
402918,2020-01-05,1062.616,SKU_1664
364712,2020-01-05,548.2030000000001,SKU_1674
220151,2020-01-06,1964.0000000000002,SKU_1056
555808,2020-01-06,97.6644,SKU_1839
233767,2020-01-06,411.90639999999996,SKU_1836
748663,2020-01-06,115.34,SKU_1213
803550,2020-01-06,547.3848,SKU_1507
